system;code;name
123;84;dolne prawe pierwsze trzonowce mleczne 
123;85;dolne prawe drugie trzonowce mleczne
124;00;całość jamy ustnej
124;01;obszar szczęki
124;02;obszar żuchwy
124;10;górna prawa ćwiartka
124;20;górna lewa ćwiartka
124;30;dolna lewa ćwiartka
124;40;dolna prawa ćwiartka
124;03;górny prawy sekstant
124;04;górny przedni sekstant
124;05;górny lewy sekstant
124;06;dolny lewy sekstant
124;07;dolny przedni sekstant
124;08;dolny prawy sekstant
